EventSID,DateSID,LocationSID,EventDesc,PackedLunchCount,EffectToMealCount
499,20170119,1,anonymized,20,TRUE
500,20170124,1,anonymized,25,TRUE
501,20170126,1,anonymized,25,TRUE
502,20170223,1,anonymized,516,TRUE
503,20170505,1,anonymized,120,TRUE
504,20170508,1,anonymized,30,TRUE
505,20170509,1,anonymized,30,TRUE
506,20170510,1,anonymized,30,TRUE
507,20170511,1,anonymized,30,TRUE
508,20170518,1,anonymized,22,TRUE
509,20170519,1,anonymized,22,TRUE
510,20170529,1,anonymized,10,TRUE
511,20170531,1,anonymized,95,TRUE
512,20171012,1,anonymized,48,TRUE
513,20171109,1,anonymized,50,TRUE
514,20171114,1,anonymized,50,TRUE
515,20171115,1,anonymized,20,TRUE
516,20171128,1,anonymized,9,TRUE
517,20180321,1,anonymized,15,TRUE
518,20180404,1,anonymized,44,TRUE
519,20180426,1,anonymized,39,TRUE
520,20180502,1,anonymized,123,TRUE
521,20180517,1,anonymized,15,TRUE
522,20180521,1,anonymized,99,TRUE
523,20180908,1,anonymized,15,TRUE
524,20181025,1,anonymized,11,TRUE
525,20181129,1,anonymized,118,TRUE
526,20181205,1,anonymized,6,TRUE
527,20181210,1,anonymized,10,TRUE
528,20190201,1,anonymized,35,TRUE
529,20190222,1,anonymized,13,TRUE
530,20190326,1,anonymized,21,TRUE
531,20190328,1,anonymized,21,TRUE
532,20190506,1,anonymized,42,TRUE
533,20190508,1,anonymized,5,TRUE
534,20190513,1,anonymized,20,TRUE
535,20190528,1,anonymized,122,TRUE
536,20190826,1,anonymized,12,TRUE
537,20190107,2,anonymized,,
538,20190214,2,anonymized,,
539,20190813,2,anonymized,,
540,20191014,2,anonymized,,TRUE
541,20191015,2,anonymized,,TRUE
542,20191016,2,anonymized,,TRUE
543,20191017,2,anonymized,,TRUE
544,20191018,2,anonymized,,TRUE
545,20191221,2,anonymized,,
546,20200102,2,anonymized,,
547,20200206,2,anonymized,,
548,20200317,2,anonymized,,
549,20200813,2,anonymized,,
550,20201012,2,anonymized,,TRUE
551,20201013,2,anonymized,,TRUE
552,20201014,2,anonymized,,TRUE
553,20201015,2,anonymized,,TRUE
554,20201016,2,anonymized,,TRUE
555,20200812,1,anonymized,0,
556,20200813,1,anonymized,0,
557,20200824,1,anonymized,0,
558,20200825,1,anonymized,0,
559,20200826,1,anonymized,0,
560,20200827,1,anonymized,0,
561,20200828,1,anonymized,0,
562,20200831,1,anonymized,0,
563,20200901,1,anonymized,0,
564,20200902,1,anonymized,0,
565,20200902,1,anonymized,0,
566,20200907,1,anonymized,0,
567,20200908,1,anonymized,0,
568,20200909,1,anonymized,0,
569,20200909,1,anonymized,0,
570,20200910,1,anonymized,0,
571,20200911,1,anonymized,0,
572,20200912,1,anonymized,0,
573,20200915,1,anonymized,0,
574,20200916,1,anonymized,0,
575,20200918,1,anonymized,0,
576,20200921,1,anonymized,0,
577,20201111,1,anonymized,0,
578,20201113,1,anonymized,0,
579,20201113,1,anonymized,0,
580,20201116,1,anonymized,0,
581,20201116,1,anonymized,0,
582,20201123,1,anonymized,0,
583,20201123,1,anonymized,0,
584,20201126,1,anonymized,0,
